Total apartments in DB: 254
ID: 1 | Complex: 'Зерде' | District: 'None' | Street: 'Кудайбердыулы' | House: '4' | Apt: '1' | Address: 'Жилой комплекс Зерде, Кудайбердыулы 4 - 1'
ID: 2 | Complex: 'Зерде' | District: 'None' | Street: 'Кудайбердыулы' | House: '4' | Apt: '45' | Address: 'Жилой комплекс Зерде, Кудайбердыулы 4 - 45'
ID: 3 | Complex: 'Зерде' | District: 'None' | Street: 'Кудайбердыулы' | House: '4' | Apt: '83' | Address: 'Жилой комплекс Зерде, Кудайбердыулы 4 - 83'
ID: 4 | Complex: 'Зерде' | District: 'None' | Street: 'Кудайбердыулы' | House: '4' | Apt: '87' | Address: 'Жилой комплекс Зерде, Кудайбердыулы 4 - 87'
ID: 5 | Complex: 'Лазурный квартал' | District: 'None' | Street: 'Сарайшык' | House: '5Г' | Apt: '78' | Address: 'Жилой комплекс Лазурный квартал, Сарайшык 5Г - 78'
ID: 6 | Complex: 'Лазурный квартал' | District: 'None' | Street: 'Сарайшык' | House: '5В' | Apt: '66' | Address: 'Жилой комплекс Лазурный квартал, Сарайшык 5В - 66'
ID: 7 | Complex: 'Лазурный квартал' | District: 'None' | Street: 'Сарайшык' | House: '5В' | Apt: '78' | Address: 'Жилой комплекс Лазурный квартал, Сарайшык 5В - 78'
ID: 8 | Complex: 'Лазурный квартал' | District: 'None' | Street: 'Сарайшык' | House: '5Д' | Apt: '101' | Address: 'Жилой комплекс Лазурный квартал, Сарайшык 5Д - 101'
ID: 9 | Complex: 'Лазурный квартал' | District: 'None' | Street: 'Сарайшык' | House: '5Д' | Apt: '105' | Address: 'Жилой комплекс Лазурный квартал, Сарайшык 5Д - 105'
ID: 10 | Complex: 'Лазурный квартал' | District: 'None' | Street: 'Сарайшык' | House: '5Д' | Apt: '12' | Address: 'Жилой комплекс Лазурный квартал, Сарайшык 5Д - 12'
ID: 11 | Complex: 'Лазурный квартал' | District: 'None' | Street: 'Сарайшык' | House: '5Д' | Apt: '17' | Address: 'Жилой комплекс Лазурный квартал, Сарайшык 5Д - 17'
ID: 12 | Complex: 'Лазурный квартал' | District: 'None' | Street: 'Сарайшык' | House: '5Д' | Apt: '20' | Address: 'Жилой комплекс Лазурный квартал, Сарайшык 5Д - 20'
