Row | Index | Rooms | House | Apt | FullAddress | Amortization (AU) | Deduction (AV) | TaxBase (AW)
2 | 1 | 2-х комнатная квартира  | 4 | 1 | Жилой комплекс Зерде, Кудайбердыулы 4 - 1 | 14849.28 | 18452.76 | 14849.28
3 | 2 | 3-х комнатная квартира  | 4 | 45 | Жилой комплекс Зерде, Кудайбердыулы 4 - 45 | 17240.95 | 21425.35 | 17240.95
4 | 3 | 2-х комнатная квартира  | 4 | 83 | Жилой комплекс Зерде, Кудайбердыулы 4 - 83 | 14593.86 | 18135.3 | 14593.86
5 | 4 | 2-х комнатная квартира  | 4 | 87 | Жилой комплекс Зерде, Кудайбердыулы 4 - 87 | 14698.93 | 18266.25 | 14698.93
6 | 5 | 2-х комнатная квартира  | 5Г | 78 | Жилой комплекс Лазурный квартал, Сарайшык 5Г - 78 | 20713.54 | 22605.03 | 20713.54
7 | 6 | 3-х комнатная квартира  | 5В | 66 | Жилой комплекс Лазурный квартал, Сарайшык 5В - 66 | 30645.41 | 33413.7 | 30645.41
8 | 7 | 2-х комнатная квартира  | 5В | 78 | Жилой комплекс Лазурный квартал, Сарайшык 5В - 78 | 24208.06 | 26393.64 | 24208.06
9 | 8 | 2-х комнатная квартира  | 5Д | 101 | Жилой комплекс Лазурный квартал, Сарайшык 5Д - 101 | 18277.08 | 19943.2 | 18277.08
10 | 9 | 2-х комнатная квартира  | 5Д | 105 | Жилой комплекс Лазурный квартал, Сарайшык 5Д - 105 | 17877.76 | 19511.65 | 17877.76
11 | 10 | 2-х комнатная квартира  | 5Д | 12 | Жилой комплекс Лазурный квартал, Сарайшык 5Д - 12 | 18746.02 | 20450.59 | 18746.02
12 | 11 | 2-х комнатная квартира  | 5Д | 17 | Жилой комплекс Лазурный квартал, Сарайшык 5Д - 17 | 18392.91 | 20070.27 | 18392.91
13 | 12 | 2-х комнатная квартира  | 5Д | 20 | Жилой комплекс Лазурный квартал, Сарайшык 5Д - 20 | 19100.85 | 20842.89 | 19100.85
